,Unnamed: 0,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
9900,9900,646,Germany,Male,39,6,121681.91,2,0,1,61793.47,0
3192,3192,554,Spain,Male,66,8,0.0,2,1,1,116747.62,0
6181,6181,570,France,Male,39,10,129674.89,2,1,0,80552.36,0
2419,2419,580,Spain,Female,57,0,136820.99,1,0,1,108528.74,0
1883,1883,790,Germany,Male,24,7,107418.27,1,0,1,160450.21,0
4607,4607,653,France,Male,51,3,0.0,1,1,0,170426.65,1
757,757,736,Spain,Female,28,2,0.0,2,1,1,117431.1,0
7387,7387,696,France,Male,44,8,161889.79,1,0,0,75562.47,0
4332,4332,507,Germany,Male,31,2,134237.07,1,1,1,166423.66,1
2262,2262,572,France,Male,43,2,140431.98,1,1,0,26450.57,1
8635,8635,651,Germany,Male,29,3,121890.06,1,1,0,54530.51,1
8475,8475,633,Germany,Male,58,2,128137.42,2,1,0,147635.33,1
6584,6584,671,Germany,Female,23,9,123943.18,1,1,1,159553.27,0
2103,2103,594,France,Male,61,3,62391.22,1,1,1,192434.11,0
3212,3212,611,France,Male,35,10,0.0,1,1,1,23598.23,1
1781,1781,793,Spain,Female,36,0,0.0,1,0,0,148993.47,0
7612,7612,678,Spain,Male,28,5,138668.18,1,1,1,54144.01,0
6534,6534,622,Spain,Male,27,9,139834.93,1,1,1,152733.89,0
9622,9622,590,France,Male,31,8,112211.61,1,1,0,26261.42,0
7469,7469,686,France,Female,35,8,105419.73,1,1,0,35356.46,0
1442,1442,683,France,Male,43,8,0.0,1,1,0,96754.8,0
8990,8990,784,Germany,Male,28,2,109960.06,2,1,1,170829.87,0
6998,6998,666,Spain,Female,47,5,0.0,1,0,0,166650.9,1
7398,7398,453,Germany,Female,40,1,111524.49,1,1,1,120373.84,1
5979,5979,677,France,Female,24,0,148298.59,2,0,0,182913.95,0
5040,5040,829,Spain,Male,50,7,0.0,2,0,1,178458.86,0
1599,1599,670,France,Female,42,1,115961.58,2,0,1,29483.87,0
3169,3169,677,Spain,Male,40,5,0.0,2,1,0,88947.56,0
2915,2915,489,Germany,Female,52,1,131441.51,1,1,0,37240.11,1
905,905,672,France,Female,45,9,0.0,1,1,1,92027.69,1
4265,4265,709,France,Male,32,4,147307.91,1,0,1,40861.55,0
4211,4211,792,Spain,Male,47,0,0.0,1,1,1,5557.88,1
9982,9982,655,Germany,Female,46,7,137145.12,1,1,0,115146.4,1
9073,9073,702,Germany,Female,60,5,138597.54,2,1,1,41536.59,1
8225,8225,670,Spain,Female,57,3,175575.95,2,1,0,99061.75,1
9031,9031,541,France,Male,39,7,0.0,2,1,0,19823.02,0
5096,5096,669,France,Female,29,7,146011.4,1,0,0,50249.16,0
2795,2795,515,France,Female,25,7,79543.59,1,0,1,38772.82,0
9942,9942,739,Germany,Female,25,5,113113.12,1,1,0,129181.27,0
8255,8255,575,France,Female,40,1,139532.34,1,1,0,181294.39,0
2129,2129,702,France,Male,34,4,100054.77,1,1,0,109496.45,0
8545,8545,513,Germany,Male,34,7,60515.13,1,0,0,124571.09,0
9298,9298,742,Germany,Male,27,5,190125.43,2,0,0,21793.59,0
7250,7250,604,Spain,Female,28,6,0.0,2,1,1,69056.26,0
5682,5682,620,Spain,Male,29,9,0.0,2,1,0,13133.88,0
4111,4111,691,Spain,Male,40,1,0.0,2,1,1,145613.17,0
8671,8671,542,Germany,Female,35,9,127543.11,2,1,0,468.94,1
3089,3089,743,France,Male,40,8,68155.59,1,1,0,94876.65,0
4231,4231,628,France,Male,36,3,0.0,2,1,1,8742.91,0
4411,4411,657,Spain,Male,42,5,41473.33,1,1,0,112979.6,1
2695,2695,597,Germany,Female,39,8,162532.14,3,1,0,36051.46,1
6791,6791,600,Germany,Female,39,7,88477.36,2,1,0,58632.37,0
6966,6966,663,France,Male,22,6,0.0,2,0,1,131827.15,0
6407,6407,806,Germany,Male,30,8,168078.83,1,1,0,85028.36,1
8047,8047,734,Germany,Male,33,5,121898.58,1,1,0,61829.89,0
2835,2835,653,Spain,Male,35,6,116662.96,2,1,1,23864.21,0
6250,6250,608,France,Male,42,10,163548.07,1,1,0,38866.85,0
5644,5644,738,Spain,Female,37,8,100565.94,1,1,1,128799.86,0
3389,3389,420,Spain,Female,55,4,91893.32,1,1,0,144870.28,1
3964,3964,476,France,Male,37,4,0.0,1,1,1,55775.84,1
458,458,514,Germany,Male,43,1,95556.31,1,0,1,199273.98,1
5516,5516,592,France,Male,37,3,96651.03,1,1,1,3232.82,0
9507,9507,808,France,Male,41,0,0.0,1,1,1,79888.78,0
9879,9879,486,Germany,Male,62,9,118356.89,2,1,0,168034.83,1
9529,9529,508,France,Female,41,5,0.0,2,1,1,94170.84,0
7803,7803,619,Germany,Female,52,8,124099.13,1,0,0,23904.52,0
8732,8732,724,France,Female,29,6,0.0,2,0,1,64729.51,0
1167,1167,548,France,Female,35,10,0.0,1,1,1,31299.71,0
2292,2292,677,France,Male,27,2,0.0,2,1,1,20092.89,0
1575,1575,545,France,Male,23,2,0.0,2,1,0,189613.12,0
727,727,711,France,Female,25,7,0.0,3,1,1,9679.28,0
8917,8917,642,France,Male,62,7,0.0,2,1,1,61120.75,0
925,925,714,Germany,Female,36,1,101609.01,2,1,1,447.73,0
629,629,799,Spain,Female,28,3,142253.65,1,1,0,45042.56,0
6818,6818,698,France,Male,41,3,90605.29,1,1,1,14357.0,0
5723,5723,687,France,Female,26,6,0.0,2,1,1,32909.13,0
415,415,626,Spain,Male,26,8,0.0,2,0,0,191420.71,0
9484,9484,813,Germany,Male,30,1,116416.94,1,0,1,85808.22,0
4221,4221,701,Germany,Male,23,5,186101.18,2,1,1,76611.33,0
7905,7905,701,Spain,Male,35,10,159693.9,2,1,1,71173.64,0
5103,5103,783,Germany,Female,58,3,127539.3,1,1,1,96590.39,1
9654,9654,834,Spain,Male,34,5,0.0,2,0,0,53437.1,0
7715,7715,517,France,Male,62,1,43772.66,3,1,0,187756.24,1
9080,9080,711,France,Female,81,6,0.0,2,1,1,72276.24,0
1772,1772,656,Germany,Male,27,4,118627.16,2,1,1,160835.3,0
803,803,511,Spain,Female,29,9,0.0,2,0,1,140676.98,0
1935,1935,523,France,Male,39,3,0.0,2,1,0,6726.53,0
2047,2047,549,France,Male,37,2,112541.54,2,0,0,47432.43,0
7216,7216,679,France,Male,41,8,147726.98,3,1,0,172749.4,1
352,352,568,Spain,Female,32,7,169399.6,1,1,0,61936.22,0
3583,3583,577,Spain,Male,43,8,79757.21,1,1,0,135650.72,1
1477,1477,776,France,Male,37,2,0.0,1,0,1,8065.0,0
5992,5992,758,France,Female,32,2,84378.9,1,1,1,75396.43,0
5336,5336,530,France,Female,55,4,120905.03,1,0,1,123475.88,1
4861,4861,663,Spain,Female,22,9,0.0,1,1,0,29135.89,1
8356,8356,731,Spain,Female,26,3,0.0,2,1,0,37697.29,0
6905,6905,687,France,Female,35,1,110752.15,2,1,1,47921.22,0
3891,3891,723,Germany,Female,28,5,91938.31,1,1,0,143481.85,0
9777,9777,705,France,Female,39,3,92224.56,1,1,1,54517.25,0
665,665,661,France,Male,33,9,0.0,2,1,1,84174.81,0
8838,8838,558,France,Male,33,0,108477.49,1,1,1,109096.71,1
9022,9022,712,France,Male,23,2,0.0,2,0,1,66795.78,0
7525,7525,580,Germany,Male,35,9,121355.19,1,0,1,35671.45,0
1119,1119,756,Spain,Male,29,2,117412.19,2,1,0,4888.91,0
3703,3703,739,Germany,Male,40,5,149131.03,3,1,1,60036.99,1
7800,7800,698,Germany,Female,52,1,107906.75,1,1,0,168886.39,1
5918,5918,600,Germany,Male,28,2,116623.31,1,0,1,59905.29,0
8835,8835,716,Spain,Male,34,9,0.0,1,1,1,66695.71,0
7423,7423,699,Germany,Male,36,2,123601.56,2,1,0,103557.85,0
6002,6002,701,France,Female,41,2,0.0,1,1,0,47856.78,0
6128,6128,819,France,Male,35,1,0.0,2,0,1,3385.04,0
9046,9046,630,Germany,Female,23,4,137964.51,1,0,1,174570.55,0
8974,8974,706,Spain,Female,43,1,0.0,2,1,0,31962.77,0
5716,5716,611,Germany,Male,37,1,117524.72,2,0,1,161064.29,0
4798,4798,593,France,Male,41,6,0.0,2,1,1,99136.49,0
4776,4776,767,Spain,Male,37,7,0.0,2,1,1,24734.25,0
4454,4454,615,France,Male,36,6,0.0,1,1,1,27011.8,1
3765,3765,841,France,Male,27,8,0.0,1,1,0,171922.72,0
7080,7080,628,Germany,Female,51,10,115280.49,2,0,0,12628.61,1
7578,7578,582,France,Female,39,1,132077.48,2,1,0,192255.15,0
5115,5115,533,Germany,Female,49,1,102286.6,3,1,0,69409.37,1
334,334,626,Spain,Female,37,6,108269.37,1,1,0,5597.94,0
99,99,413,France,Male,34,9,0.0,2,0,0,6534.18,0
4016,4016,480,France,Male,40,6,148790.61,1,0,1,79329.7,0
8818,8818,677,France,Female,37,3,0.0,2,1,1,38252.25,0
7613,7613,634,France,Female,37,7,51582.5,2,1,1,184312.88,0
6608,6608,765,France,Male,40,6,138033.55,1,1,1,67972.45,0
7849,7849,643,Germany,Male,41,7,154902.66,1,1,1,49667.28,0
9502,9502,790,Spain,Male,29,3,46057.96,2,1,1,189777.66,0
9684,9684,781,France,Male,33,3,89276.48,1,1,0,6959.0,0
709,709,686,France,Female,34,3,123971.51,2,1,0,147794.63,0
5030,5030,562,Germany,Male,33,8,92659.2,2,1,0,1354.25,0
2408,2408,653,Spain,Male,55,7,0.0,2,1,1,41967.03,0
7156,7156,632,Germany,Male,65,6,129472.33,1,1,1,85179.48,0
5975,5975,614,France,Male,44,6,0.0,2,0,1,104930.46,0
5404,5404,657,France,Male,37,4,82500.28,1,1,1,115260.72,0
6163,6163,488,Germany,Female,28,7,139246.22,2,1,0,106799.49,0
45,45,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0
4724,4724,543,Germany,Male,49,6,59532.18,1,1,0,104253.56,0
6979,6979,539,France,Female,40,7,81132.21,1,1,0,167289.82,0
7333,7333,699,Spain,Male,43,2,136487.86,2,1,0,82815.93,0
3273,3273,560,Spain,Female,43,4,95140.44,2,1,0,123181.44,1
9628,9628,662,France,Female,22,9,0.0,2,1,1,44377.65,0
3436,3436,571,France,Male,41,8,0.0,1,1,1,63736.17,0
8403,8403,844,France,Female,28,4,0.0,2,0,1,123318.37,0
5653,5653,687,Germany,Female,41,2,154007.21,1,1,0,158408.23,0
2271,2271,665,Germany,Male,25,5,153611.83,2,1,0,35321.65,0
6604,6604,774,France,Female,47,6,94722.88,1,0,1,61450.96,0
9388,9388,679,Spain,Male,39,5,0.0,2,1,1,100060.54,0
9084,9084,686,Spain,Female,47,6,0.0,1,1,0,32080.69,1
3631,3631,739,Spain,Male,19,5,89750.21,1,1,0,193008.52,0
610,610,495,France,Male,30,10,129755.99,1,0,0,172749.65,0
7730,7730,635,France,Male,43,10,122198.21,2,0,1,179144.54,0
648,648,438,France,Female,36,4,0.0,2,1,0,64420.5,0
774,774,636,Germany,Male,49,6,113599.74,2,1,0,158887.09,1
6048,6048,707,France,Female,36,6,0.0,1,0,0,98810.78,0
2355,2355,569,Spain,Female,42,1,0.0,1,1,1,83629.6,1
5339,5339,496,Germany,Female,55,4,125292.53,1,1,1,31532.96,1
9067,9067,704,Germany,Male,41,9,62078.21,2,1,0,129050.67,0
1174,1174,705,Spain,Female,40,5,203715.15,1,1,0,179978.68,1
7349,7349,632,Germany,Male,42,6,59972.26,2,0,1,148172.94,0
6799,6799,760,France,Male,38,6,162888.73,1,1,0,91098.76,1
1812,1812,850,Germany,Female,33,7,134678.13,1,1,0,113177.95,0
7204,7204,686,Spain,Male,39,10,136258.06,1,0,0,89199.51,0
8894,8894,485,France,Female,39,2,75339.64,1,1,1,70665.16,0
876,876,502,Germany,Female,32,1,173340.83,1,0,1,122763.95,0
9547,9547,626,France,Female,34,3,0.0,2,1,1,37870.29,0
469,469,753,France,Male,35,3,0.0,2,1,1,184843.77,0
7348,7348,448,Spain,Male,25,2,0.0,2,0,0,95215.73,0
5939,5939,766,Germany,Male,30,4,127786.28,2,1,1,28879.3,0
4027,4027,662,Germany,Male,39,5,139822.11,2,1,1,146219.9,0
2675,2675,745,Germany,Male,38,5,65095.41,2,1,1,140197.42,0
2766,2766,705,France,Male,30,1,0.0,1,1,1,181300.32,0
5966,5966,508,France,Female,43,9,0.0,1,1,0,103726.71,0
8690,8690,762,Spain,Female,43,5,134204.67,1,1,1,139971.01,0
5760,5760,528,Spain,Male,23,7,104744.89,1,1,0,170262.97,0
9002,9002,605,France,Male,36,7,128829.25,1,1,0,190588.59,0
3671,3671,646,Germany,Female,52,6,111739.4,2,0,1,68367.18,0
9961,9961,573,Spain,Male,44,9,0.0,2,1,0,107124.17,0
9984,9984,602,Germany,Male,35,7,90602.42,2,1,1,51695.41,0
752,752,490,France,Female,35,7,107749.03,1,1,1,3937.37,0
5526,5526,579,Germany,Male,49,4,169377.31,1,1,1,123535.05,0
7087,7087,675,Spain,Female,35,8,155621.08,1,0,1,35177.31,0
7311,7311,707,France,Male,37,1,0.0,2,0,1,6035.51,0
1138,1138,468,Germany,Male,42,9,181627.14,2,1,0,172668.39,0
251,251,587,Spain,Female,34,1,0.0,2,1,1,97932.68,0
1042,1042,630,Spain,Female,39,7,135483.17,1,1,0,140881.2,1
8622,8622,706,Germany,Male,36,9,58571.18,2,1,0,40774.01,0
9720,9720,803,France,Female,40,6,165526.71,1,1,0,12328.08,0
3571,3571,664,Germany,Male,36,6,71142.77,2,1,0,122433.09,0
5359,5359,684,Germany,Male,42,1,117691.0,1,1,1,23135.65,1
5576,5576,566,Germany,Male,65,4,120100.41,1,1,0,107563.16,1
6930,6930,751,France,Male,30,3,165257.2,1,0,0,134822.05,0
321,321,680,France,Female,30,8,141441.75,1,1,1,16278.97,0
8114,8114,492,Germany,Female,49,2,151249.45,2,1,1,167237.94,0
5133,5133,479,Spain,Male,37,6,118433.94,1,0,1,160060.9,0
8206,8206,580,France,Male,34,6,0.0,2,1,1,160095.31,0
8776,8776,567,Spain,Male,44,9,0.0,2,1,0,87677.15,0
4762,4762,756,France,Male,34,1,103133.26,1,1,1,90059.04,0
360,360,706,Spain,Male,28,3,0.0,2,0,1,181543.67,0
8953,8953,711,Spain,Male,42,3,177626.77,3,0,1,16392.72,1
5866,5866,735,France,Female,53,8,123845.36,2,0,1,170454.93,1
5962,5962,579,Germany,Male,42,0,144386.32,1,1,1,22497.1,1
7197,7197,707,France,Female,42,10,0.0,2,1,1,152944.39,0
2308,2308,488,Germany,Female,33,4,140002.35,1,1,0,123613.81,0
4649,4649,670,Germany,Male,31,1,142631.54,2,1,1,175894.24,0
6395,6395,741,Germany,Female,36,0,127675.39,2,1,0,74260.16,0
2197,2197,614,Spain,Male,35,2,127283.78,1,1,1,31302.35,0
4998,4998,559,Spain,Female,40,7,144470.77,1,1,1,18917.95,0
8361,8361,690,France,Female,35,9,107944.33,2,0,0,48478.47,0
8203,8203,778,Spain,Male,33,5,116474.28,2,1,1,32757.55,0
4712,4712,474,France,Male,54,3,0.0,1,1,0,108409.17,1
3903,3903,643,Spain,Female,45,9,150840.03,2,1,0,155516.35,0
8528,8528,534,Spain,Male,35,4,0.0,2,0,0,9541.15,0
6287,6287,690,Spain,Male,32,2,76087.98,1,0,1,151822.66,0
5745,5745,629,Spain,Male,32,3,0.0,2,1,1,15404.64,0
898,898,523,France,Female,40,2,102967.41,1,1,0,128702.1,1
1843,1843,587,France,Female,36,1,134997.49,2,1,0,44688.08,0
3547,3547,662,Spain,Female,35,6,0.0,2,0,0,2423.9,1
1205,1205,780,France,Male,76,10,121313.88,1,0,1,64872.33,0
3261,3261,614,France,Male,51,3,0.0,2,1,1,5552.37,0
3573,3573,670,France,Male,68,4,0.0,2,1,1,11426.7,0
4403,4403,602,Germany,Female,43,2,113641.49,4,1,0,115116.35,1
2862,2862,645,Germany,Male,33,8,149564.61,1,0,0,149913.84,0
2044,2044,487,France,Male,45,2,0.0,2,1,0,77475.73,0
255,255,766,Spain,Male,41,0,0.0,2,0,1,34283.23,0
5443,5443,701,Spain,Male,28,1,103421.32,1,0,1,76304.73,0
4458,4458,633,France,Male,37,2,0.0,2,1,0,182258.17,0
6616,6616,606,Spain,Male,33,8,0.0,2,1,1,63176.77,0
1739,1739,715,France,Male,23,7,139224.92,2,1,0,65057.71,0
740,740,618,France,Female,24,7,128736.39,1,0,1,37147.61,0
2318,2318,672,Spain,Male,33,2,0.0,2,1,1,182738.0,0
939,939,724,France,Female,37,10,68598.56,1,1,0,157862.82,0
1088,1088,850,Spain,Male,22,2,0.0,2,1,1,9684.52,0
9511,9511,738,France,Male,33,4,92676.3,1,1,0,105817.63,0
824,824,600,Spain,Male,36,4,0.0,2,1,0,143635.36,0
180,180,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0
1858,1858,705,France,Male,61,4,0.0,2,1,1,191313.7,0
8846,8846,571,France,Female,53,2,0.0,2,1,0,28045.77,0
6190,6190,581,Spain,Female,43,4,170172.9,1,0,1,100236.02,0
9122,9122,689,France,Female,29,1,77556.79,2,1,1,122998.26,0
2645,2645,755,France,Male,23,5,84284.48,2,1,1,62851.6,0
1916,1916,543,Germany,Male,48,1,100900.5,1,0,0,33310.72,1
4717,4717,627,Germany,Male,38,8,106922.92,2,0,1,84270.09,0
9803,9803,673,France,Male,31,1,108345.22,1,0,1,38802.03,0
6885,6885,698,France,Female,27,1,94920.71,1,1,1,40339.9,0
4601,4601,642,Germany,Male,30,8,134497.27,1,0,0,43250.54,0
6793,6793,623,Germany,Male,50,7,126608.37,1,0,1,645.61,1
2516,2516,814,France,Female,36,6,0.0,2,1,1,98657.01,0
4417,4417,608,Spain,Male,27,4,153325.1,1,1,1,199953.33,0
2137,2137,850,France,Female,38,1,106871.81,2,1,0,29333.01,0
3677,3677,631,Spain,Male,33,2,0.0,2,1,1,158268.84,0
9201,9201,458,Germany,Female,43,1,106870.12,2,1,0,100564.37,0
8867,8867,457,France,Female,38,7,164496.99,1,1,1,163327.27,0
9755,9755,806,Germany,Male,36,8,167983.17,2,1,1,106714.28,0
3819,3819,553,Germany,Male,46,3,82291.1,1,1,0,112549.99,1
4264,4264,667,Germany,Female,56,8,137464.04,1,1,0,130846.79,1
4954,4954,731,Spain,Male,42,9,101043.63,1,1,1,192175.52,0
8888,8888,743,France,Male,23,3,110203.77,1,1,0,95583.45,0
6306,6306,773,France,Male,33,9,0.0,2,1,1,1118.31,0
1660,1660,655,France,Female,37,7,111852.84,2,1,0,10511.13,0
9569,9569,710,Spain,Female,30,10,0.0,2,1,0,19500.1,0
6884,6884,639,France,Male,35,8,0.0,2,1,0,170483.9,0
7807,7807,608,Germany,Male,34,3,106288.54,1,1,1,36639.25,0
2204,2204,509,France,Male,31,3,0.0,2,1,0,15360.91,0
2436,2436,704,Spain,Male,37,4,0.0,2,0,0,25684.93,0
5990,5990,573,France,Female,32,9,125321.84,2,1,1,130234.63,0
928,928,520,Germany,Male,61,8,133802.29,2,1,1,90304.01,0
5371,5371,712,France,Male,33,3,153819.58,1,1,0,79176.09,1
674,674,529,Spain,Male,35,5,0.0,2,1,1,187288.5,0
6505,6505,596,Germany,Male,48,2,131326.47,1,0,0,1140.02,1
4340,4340,577,Spain,Female,44,8,115557.0,1,0,1,127506.76,0
1254,1254,628,France,Female,46,1,46870.43,4,1,0,31272.14,1
2221,2221,767,Germany,Female,35,6,132253.22,1,1,0,115566.57,1
9474,9474,673,France,Male,51,8,79563.36,2,1,1,172200.91,0
7050,7050,591,France,Male,29,6,0.0,2,1,1,108684.65,0
2798,2798,579,Germany,Male,28,6,150329.15,1,1,0,145558.42,0
90,90,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1
9273,9273,616,France,Male,31,1,0.0,2,1,1,54706.75,0
2023,2023,601,France,Male,41,1,123971.16,1,0,1,172814.99,0
1441,1441,627,Spain,Male,44,6,0.0,1,1,1,114469.55,0
4480,4480,655,France,Female,45,0,0.0,2,1,0,166830.71,0
2402,2402,531,France,Male,31,3,96288.26,1,1,0,56794.73,0
211,211,603,France,Male,31,8,0.0,2,1,1,169915.02,0
2002,2002,601,France,Male,74,2,0.0,2,0,1,51554.58,0
4337,4337,850,France,Male,38,5,0.0,2,1,0,16491.64,0
3932,3932,680,France,Male,23,5,140007.19,1,0,1,31714.08,0
6825,6825,529,Spain,Female,44,1,0.0,2,0,0,14161.3,0
4567,4567,554,Spain,Female,27,4,0.0,2,1,1,135083.73,0
7518,7518,500,Germany,Male,30,2,125495.64,2,1,1,68807.47,0
7011,7011,697,France,Female,25,1,0.0,2,0,0,87803.32,0
5264,5264,547,Spain,Female,44,5,0.0,3,0,0,5459.07,1
3864,3864,620,Germany,Male,40,5,108197.11,2,1,0,49722.34,0
2833,2833,683,Spain,Male,40,8,0.0,1,1,0,75848.22,0
3300,3300,677,Germany,Male,28,0,143988.0,2,1,0,8755.69,1
4831,4831,660,France,Male,35,7,0.0,2,1,0,13218.6,0
3534,3534,677,Germany,Female,44,4,148770.61,2,1,1,191057.76,0
1208,1208,697,France,Female,47,6,128252.66,1,1,1,168053.4,0
6752,6752,624,Spain,Male,38,7,123906.55,1,1,0,135096.78,0
4259,4259,790,Spain,Female,37,3,0.0,3,0,0,98897.32,0
5534,5534,658,France,Female,29,8,0.0,2,0,1,130461.09,0
7527,7527,676,Spain,Male,35,0,0.0,2,0,0,139911.58,0
2676,2676,667,Germany,Male,43,1,103018.45,1,1,0,32462.39,1
2414,2414,556,France,Female,52,9,0.0,1,1,0,175149.2,1
2551,2551,537,France,Female,53,3,0.0,1,1,1,91406.62,0
1790,1790,697,Germany,Female,74,3,108071.36,2,1,1,16445.79,0
3304,3304,601,Germany,Male,35,8,71553.83,1,1,0,177384.45,0
1142,1142,793,Spain,Male,41,9,0.0,2,1,0,152153.74,0
5125,5125,542,Spain,Male,54,8,105770.14,1,0,1,140929.98,1
115,115,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0
3167,3167,637,France,Female,48,7,130806.99,2,1,1,132005.85,1
5496,5496,620,France,Female,42,1,0.0,2,0,1,65565.92,0
1109,1109,595,France,Male,31,4,0.0,2,1,0,189995.86,0
2492,2492,520,Germany,Female,31,3,108914.17,1,1,1,183572.39,1
6398,6398,593,Spain,Male,26,9,76226.9,1,1,0,167564.82,0
580,580,701,Spain,Male,36,8,0.0,2,1,0,169161.46,0
5073,5073,644,Germany,Male,34,9,112746.54,2,0,0,141230.07,0
9322,9322,767,France,Female,35,9,0.0,2,1,0,39511.61,0
3373,3373,644,France,Male,37,2,186347.97,2,1,0,92809.73,0
9840,9840,576,Spain,Male,26,8,0.0,2,0,1,34101.06,0
8828,8828,824,Spain,Female,38,3,0.0,2,1,0,192800.25,0
5502,5502,614,Spain,Female,40,3,113348.5,1,1,1,77789.01,0
6486,6486,710,France,Male,40,5,0.0,2,0,0,162878.96,0
3277,3277,790,France,Female,41,2,126619.27,1,1,0,198224.38,0
9396,9396,700,Spain,Female,40,2,0.0,2,1,0,199753.97,0
7759,7759,549,Germany,Female,55,1,137592.31,2,0,1,116548.02,1
3955,3955,625,France,Male,39,2,0.0,2,1,0,100403.05,0
2792,2792,535,France,Female,45,2,0.0,2,0,1,170621.55,0
3562,3562,495,Germany,Female,34,9,117160.32,1,1,1,116069.24,1
7537,7537,655,France,Female,38,6,0.0,1,1,1,188639.28,0
5083,5083,653,Spain,Female,38,9,149571.94,1,1,0,118383.18,0
5116,5116,741,Germany,Male,38,4,128015.83,1,1,0,58440.43,0
3253,3253,585,France,Female,38,5,0.0,1,1,1,87363.56,0
686,686,715,France,Female,31,2,112212.14,2,1,1,181600.72,0
6630,6630,741,France,Female,36,3,0.0,2,1,1,89804.83,0
2779,2779,733,Germany,Male,38,9,111347.37,2,0,1,194872.97,0
7880,7880,744,France,Female,38,9,0.0,2,0,0,20940.76,0
6116,6116,627,France,Male,73,0,146329.73,1,0,1,43615.67,0
6080,6080,659,Spain,Female,42,2,0.0,1,0,0,162734.31,1
2703,2703,459,Germany,Male,46,7,110356.42,1,1,0,4969.13,1
576,576,439,Spain,Female,32,3,138901.61,1,1,0,75685.97,0
7291,7291,599,Spain,Male,33,4,51690.89,1,1,0,111622.76,1
1570,1570,717,Spain,Female,49,1,110864.38,2,1,1,124532.9,1
9088,9088,736,Germany,Female,36,8,103914.17,1,1,1,110035.88,1
3995,3995,701,Spain,Female,33,7,123870.07,1,1,0,97794.71,0
5317,5317,700,France,Male,37,1,135179.49,1,1,0,160670.37,0
6376,6376,700,France,Male,46,5,95872.86,1,1,0,98273.01,1
7923,7923,730,Spain,Male,38,5,118866.36,1,1,1,163317.5,0
4,4,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
9162,9162,665,Germany,Male,63,7,104469.58,1,1,1,25165.36,1
2371,2371,730,France,Female,22,9,65763.57,1,1,1,145792.01,0
8645,8645,636,France,Female,20,10,124266.86,1,0,0,100566.81,0
3627,3627,604,Spain,Female,39,7,98544.11,1,1,1,52327.57,0
8138,8138,584,Germany,Female,36,4,109646.83,1,1,1,70240.79,0
1362,1362,555,Germany,Male,41,10,113270.2,2,1,1,185387.14,0
1225,1225,707,Spain,Female,53,6,109663.47,1,1,1,52110.45,0
4765,4765,630,Spain,Female,49,1,0.0,2,0,1,162858.29,0
3594,3594,652,Germany,Female,37,9,145219.3,1,1,0,159132.83,0
7906,7906,613,Spain,Male,37,3,171653.17,1,0,1,5353.12,0
80,80,665,France,Female,34,1,96645.54,2,0,0,171413.66,0
1693,1693,554,Spain,Female,34,8,0.0,1,0,1,106981.03,0
5967,5967,773,Spain,Male,37,2,103195.2,2,1,0,178268.36,0
8971,8971,408,France,Male,40,3,0.0,2,0,0,124874.23,0
5869,5869,562,Germany,Male,31,2,112708.2,1,0,1,186370.3,0
8218,8218,516,France,Female,40,9,0.0,2,0,1,33266.29,0
4657,4657,687,France,Male,48,4,0.0,2,1,1,170893.85,0
7726,7726,735,France,Male,55,6,134140.68,1,1,0,2267.88,0
5199,5199,782,Spain,Female,27,3,0.0,2,1,0,143614.01,0
765,765,710,Spain,Female,27,2,135277.96,1,1,0,142200.15,0
8164,8164,681,Spain,Male,38,2,99811.44,2,1,0,23531.5,0
4420,4420,714,Germany,Female,35,6,126077.43,2,1,1,53954.24,0
7153,7153,574,Spain,Male,36,3,0.0,2,1,1,8559.66,0
7049,7049,602,France,Female,39,6,154121.32,2,1,0,176614.86,1
9224,9224,679,France,Male,39,0,86843.61,1,0,1,159830.58,0
4026,4026,762,Germany,Male,56,10,100260.88,3,1,1,77142.42,1
4492,4492,590,France,Female,32,0,127763.24,1,1,0,100717.54,0
5541,5541,587,Spain,Male,51,3,83739.32,1,0,1,148798.45,0
229,229,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0
1895,1895,776,France,Female,29,7,178171.04,2,1,1,115818.51,0
4561,4561,562,Germany,Male,31,4,127237.25,2,0,1,143317.42,0
2141,2141,674,France,Male,18,7,0.0,2,1,1,55753.12,1
1179,1179,807,Germany,Female,31,1,93460.47,2,0,0,172782.69,0
6785,6785,621,Spain,Male,41,5,104631.67,1,1,1,95551.22,0
1444,1444,583,France,Female,38,10,0.0,2,0,1,113597.64,0
5511,5511,667,Germany,Male,32,0,103846.65,1,1,0,20560.69,0
7567,7567,629,France,Male,44,5,0.0,4,0,0,117572.59,1
3503,3503,543,France,Male,35,5,137482.19,1,0,0,62389.35,0
7570,7570,697,France,Male,32,7,175464.85,3,1,0,116442.42,1
634,634,850,France,Male,31,6,67996.23,2,0,0,50129.87,1
973,973,750,Spain,Female,38,7,97257.41,2,0,1,179883.04,0
6851,6851,527,Germany,Female,39,9,96748.89,2,1,0,94711.43,0
